Title,Text,Link,Keywords,Section
Department for Transport (DFT),"We work to make transport greener, safer and support the economic growth of the UK. ",https://www.gov.uk/government/organisations/department-for-transport,"DFT, department for transport, transport",Inside Government
Department for Communities and Local Government (DCLG),We work to move decision-making power from central government to local councils. ,https://www.gov.uk/government/organisations/department-for-communities-and-local-government,"DCLG, CLG, department for communities, department for communities and local government",Inside Government
Building Regulations Advisory Committee (BRAC),We give advice to the Department for Communities and Local Government on building regulations for England and are consulted before DCLG makes any changes to the building regulations,https://www.gov.uk/government/organisations/building-regulations-advisory-committee,"BRAC, building regulations, building regulations advisory committee",Inside Government
Planning Inspectorate (PINS),"We deal with all planning applications and appeals in England and Wales, including national infrastructure planning, listed building appeals and rights of way orders.",https://www.gov.uk/government/organisations/planning-inspectorate,"PINS, planning inspectorate",Inside Government
Driving Standards Agency (DSA),We promote road safety in Great Britain by improving driving standards.,https://www.gov.uk/government/organisations/driving-standards-agency,"DSA, driving standards, driving standards agency",Inside Government
