Title,Text,Link,Keywords,Section
Government announcements,"Find news articles, speeches and statements from government organisations",https://www.gov.uk/government/announcements,"news, press release, speech, statement, announcement",Inside Government
Government publications,"Find official government publications including statistics, consultations and policy papers",https://www.gov.uk/government/publications,"publication, consultation, consult, statistics, research, white paper, strategy",Inside Government
UK Presidency of G8 2013,"In 2013 the UK assumes the one-year Presidency of the G8",https://www.gov.uk/government/topical-events/g8-2013,"g8, g8 presidency",Inside Government
